"Step","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - train_loss","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - train_loss__MIN","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - train_loss__MAX"
"6020","0.6768136160714285","0.6768136160714285","0.6768136160714285"
"6090","0.6797572544642857","0.6797572544642857","0.6797572544642857"
"6160","0.6423618861607143","0.6423618861607143","0.6423618861607143"
"6230","0.663720703125","0.663720703125","0.663720703125"
"6300","0.5877999441964286","0.5877999441964286","0.5877999441964286"
"6370","0.6022600446428571","0.6022600446428571","0.6022600446428571"
"6440","0.6320103236607143","0.6320103236607143","0.6320103236607143"
"6510","0.6694405691964286","0.6694405691964286","0.6694405691964286"
"6580","0.624072265625","0.624072265625","0.624072265625"
"6650","0.5943359375","0.5943359375","0.5943359375"
"6720","0.6093331473214286","0.6093331473214286","0.6093331473214286"
"6790","0.5993931361607143","0.5993931361607143","0.5993931361607143"
"6860","0.5888602120535714","0.5888602120535714","0.5888602120535714"
"6930","0.6042550223214286","0.6042550223214286","0.6042550223214286"
"7000","0.5636858258928571","0.5636858258928571","0.5636858258928571"
"7070","0.5491001674107143","0.5491001674107143","0.5491001674107143"
"7140","0.5205845424107143","0.5205845424107143","0.5205845424107143"
"7210","0.5496512276785714","0.5496512276785714","0.5496512276785714"
"7280","0.5863071986607142","0.5863071986607142","0.5863071986607142"
"7350","0.6120535714285714","0.6120535714285714","0.6120535714285714"
"7420","0.5718680245535714","0.5718680245535714","0.5718680245535714"
"7490","0.6223842075892857","0.6223842075892857","0.6223842075892857"
"7560","0.6238909040178572","0.6238909040178572","0.6238909040178572"
"7630","0.5596609933035714","0.5596609933035714","0.5596609933035714"
"7700","0.5648088727678572","0.5648088727678572","0.5648088727678572"
"7770","0.5236537388392857","0.5236537388392857","0.5236537388392857"
"7840","0.5445103236607143","0.5445103236607143","0.5445103236607143"
"7910","0.5544782366071429","0.5544782366071429","0.5544782366071429"
"7980","0.5244105747767858","0.5244105747767858","0.5244105747767858"
"8050","0.5556431361607143","0.5556431361607143","0.5556431361607143"
"8120","0.5599818638392857","0.5599818638392857","0.5599818638392857"
"8190","0.5813406808035714","0.5813406808035714","0.5813406808035714"
"8260","0.43321707589285713","0.43321707589285713","0.43321707589285713"
"8330","0.5096888950892857","0.5096888950892857","0.5096888950892857"
"8400","0.4807686941964286","0.4807686941964286","0.4807686941964286"
"8470","0.44949079241071427","0.44949079241071427","0.44949079241071427"
"8540","0.5242501395089286","0.5242501395089286","0.5242501395089286"
"8610","0.49490792410714285","0.49490792410714285","0.49490792410714285"
"8680","0.525341796875","0.525341796875","0.525341796875"
"8750","0.5493582589285714","0.5493582589285714","0.5493582589285714"
"8820","0.5492606026785715","0.5492606026785715","0.5492606026785715"
