"Step","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - avg_distance","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - avg_distance__MIN","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - avg_distance__MAX"
"18900","11.436607142857143","11.436607142857143","11.436607142857143"
"18970","11.45","11.45","11.45"
"19040","11.391964285714286","11.391964285714286","11.391964285714286"
"19110","11.339285714285714","11.339285714285714","11.339285714285714"
"19180","11.429464285714285","11.429464285714285","11.429464285714285"
"19250","11.410714285714286","11.410714285714286","11.410714285714286"
"19320","11.383035714285715","11.383035714285715","11.383035714285715"
"19390","11.614285714285714","11.614285714285714","11.614285714285714"
"19460","11.549107142857142","11.549107142857142","11.549107142857142"
"19530","11.3875","11.3875","11.3875"
"19600","11.491071428571429","11.491071428571429","11.491071428571429"
"19670","11.4375","11.4375","11.4375"
"19740","11.489285714285714","11.489285714285714","11.489285714285714"
"19810","11.349107142857143","11.349107142857143","11.349107142857143"
"19880","11.423214285714286","11.423214285714286","11.423214285714286"
"19950","11.451785714285714","11.451785714285714","11.451785714285714"
"20020","11.54642857142857","11.54642857142857","11.54642857142857"
"20090","11.430357142857142","11.430357142857142","11.430357142857142"
"20160","11.420535714285714","11.420535714285714","11.420535714285714"
"20230","11.524107142857142","11.524107142857142","11.524107142857142"
"20300","11.469642857142857","11.469642857142857","11.469642857142857"
"20370","11.591071428571428","11.591071428571428","11.591071428571428"
"20440","11.391964285714286","11.391964285714286","11.391964285714286"
"20510","11.417857142857143","11.417857142857143","11.417857142857143"
"20580","11.441071428571428","11.441071428571428","11.441071428571428"
"20650","11.489285714285714","11.489285714285714","11.489285714285714"
"20720","11.447321428571428","11.447321428571428","11.447321428571428"
"20790","11.363392857142857","11.363392857142857","11.363392857142857"
"20860","11.45267857142857","11.45267857142857","11.45267857142857"
"20930","11.389285714285714","11.389285714285714","11.389285714285714"
"21000","11.59375","11.59375","11.59375"
"21070","11.373214285714285","11.373214285714285","11.373214285714285"
"21140","11.372321428571428","11.372321428571428","11.372321428571428"
"21210","11.560714285714285","11.560714285714285","11.560714285714285"
"21280","11.473214285714286","11.473214285714286","11.473214285714286"
"21350","11.60982142857143","11.60982142857143","11.60982142857143"
"21420","11.478571428571428","11.478571428571428","11.478571428571428"
"21490","11.520535714285714","11.520535714285714","11.520535714285714"
"21560","11.541071428571428","11.541071428571428","11.541071428571428"
"21630","11.605357142857143","11.605357142857143","11.605357142857143"
"21700","11.510714285714286","11.510714285714286","11.510714285714286"
"21770","11.497321428571428","11.497321428571428","11.497321428571428"
"21840","11.565178571428572","11.565178571428572","11.565178571428572"
"21910","11.628571428571428","11.628571428571428","11.628571428571428"
"21980","11.51607142857143","11.51607142857143","11.51607142857143"
"22050","11.51875","11.51875","11.51875"
"22120","11.633035714285715","11.633035714285715","11.633035714285715"
"22190","11.575","11.575","11.575"
"22260","11.633035714285715","11.633035714285715","11.633035714285715"
"22330","11.579464285714286","11.579464285714286","11.579464285714286"
"22400","11.527678571428572","11.527678571428572","11.527678571428572"
"22470","11.639285714285714","11.639285714285714","11.639285714285714"
"22540","11.566071428571428","11.566071428571428","11.566071428571428"
"22610","11.536607142857143","11.536607142857143","11.536607142857143"
"22680","11.651785714285714","11.651785714285714","11.651785714285714"
"22750","11.522321428571429","11.522321428571429","11.522321428571429"
"22820","11.626785714285715","11.626785714285715","11.626785714285715"
"22890","11.650892857142857","11.650892857142857","11.650892857142857"
"22960","11.617857142857142","11.617857142857142","11.617857142857142"
"23030","11.580357142857142","11.580357142857142","11.580357142857142"
"23100","11.60625","11.60625","11.60625"
"23170","11.58125","11.58125","11.58125"
"23240","11.64107142857143","11.64107142857143","11.64107142857143"
"23310","11.6625","11.6625","11.6625"
"23380","11.657142857142857","11.657142857142857","11.657142857142857"
"23450","11.558035714285714","11.558035714285714","11.558035714285714"
"23520","11.625892857142857","11.625892857142857","11.625892857142857"
"23590","11.614285714285714","11.614285714285714","11.614285714285714"
"23660","11.588392857142857","11.588392857142857","11.588392857142857"
"23730","11.646428571428572","11.646428571428572","11.646428571428572"
"23800","11.683928571428572","11.683928571428572","11.683928571428572"
"23870","11.708928571428572","11.708928571428572","11.708928571428572"
"23940","11.803571428571429","11.803571428571429","11.803571428571429"
"24010","11.732142857142858","11.732142857142858","11.732142857142858"
"24080","11.721428571428572","11.721428571428572","11.721428571428572"
"24150","11.61875","11.61875","11.61875"
"24220","11.626785714285715","11.626785714285715","11.626785714285715"
"24290","11.742857142857142","11.742857142857142","11.742857142857142"
"24360","11.691071428571428","11.691071428571428","11.691071428571428"
"24430","11.645535714285714","11.645535714285714","11.645535714285714"
"24500","11.717857142857143","11.717857142857143","11.717857142857143"
"24570","11.665178571428571","11.665178571428571","11.665178571428571"
"24640","11.574107142857143","11.574107142857143","11.574107142857143"
"24710","11.496428571428572","11.496428571428572","11.496428571428572"
"24780","11.597321428571428","11.597321428571428","11.597321428571428"
"24850","11.644642857142857","11.644642857142857","11.644642857142857"
"24920","11.595535714285715","11.595535714285715","11.595535714285715"
"24990","11.74375","11.74375","11.74375"
"25060","11.676785714285714","11.676785714285714","11.676785714285714"
"25130","11.588392857142857","11.588392857142857","11.588392857142857"
"25200","11.626785714285715","11.626785714285715","11.626785714285715"
"25270","11.60625","11.60625","11.60625"
"25340","11.728571428571428","11.728571428571428","11.728571428571428"
"25410","11.641964285714286","11.641964285714286","11.641964285714286"
"25480","11.773214285714285","11.773214285714285","11.773214285714285"
"25550","11.563392857142857","11.563392857142857","11.563392857142857"
"25620","11.51607142857143","11.51607142857143","11.51607142857143"
"25690","11.775","11.775","11.775"
"25760","11.63125","11.63125","11.63125"
"25830","11.832142857142857","11.832142857142857","11.832142857142857"
"25900","11.654464285714285","11.654464285714285","11.654464285714285"
"25970","11.654464285714285","11.654464285714285","11.654464285714285"
"26040","11.68125","11.68125","11.68125"
"26110","11.714285714285714","11.714285714285714","11.714285714285714"
"26180","11.680357142857142","11.680357142857142","11.680357142857142"
