"Step","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - test_loss","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - test_loss__MIN","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - test_loss__MAX"
"14070","0.95703125","0.95703125","0.95703125"
"14140","0.76953125","0.76953125","0.76953125"
"14210","0.66015625","0.66015625","0.66015625"
"14280","0.58203125","0.58203125","0.58203125"
"14350","0.81640625","0.81640625","0.81640625"
"14420","0.88671875","0.88671875","0.88671875"
"14490","0.6171875","0.6171875","0.6171875"
"14560","0.890625","0.890625","0.890625"
"14630","0.6328125","0.6328125","0.6328125"
"14700","0.83984375","0.83984375","0.83984375"
"14770","0.65625","0.65625","0.65625"
"14840","0.859375","0.859375","0.859375"
"14910","0.75","0.75","0.75"
"14980","0.71875","0.71875","0.71875"
"15050","0.76171875","0.76171875","0.76171875"
"15120","0.72265625","0.72265625","0.72265625"
"15190","0.67578125","0.67578125","0.67578125"
"15260","0.859375","0.859375","0.859375"
"15330","0.69921875","0.69921875","0.69921875"
"15400","0.55078125","0.55078125","0.55078125"
"15470","0.66015625","0.66015625","0.66015625"
"15540","0.65234375","0.65234375","0.65234375"
"15610","0.78515625","0.78515625","0.78515625"
"15680","0.76171875","0.76171875","0.76171875"
"15750","0.78515625","0.78515625","0.78515625"
"15820","0.8125","0.8125","0.8125"
"15890","0.703125","0.703125","0.703125"
"15960","0.66015625","0.66015625","0.66015625"
"16030","0.6875","0.6875","0.6875"
"16100","0.87109375","0.87109375","0.87109375"
"16170","0.84765625","0.84765625","0.84765625"
"16240","0.74609375","0.74609375","0.74609375"
"16310","0.80859375","0.80859375","0.80859375"
"16380","0.72265625","0.72265625","0.72265625"
"16450","0.6484375","0.6484375","0.6484375"
"16520","0.91015625","0.91015625","0.91015625"
"16590","0.75390625","0.75390625","0.75390625"
"16660","0.64453125","0.64453125","0.64453125"
"16730","0.8125","0.8125","0.8125"
"16800","0.984375","0.984375","0.984375"
"16870","0.6171875","0.6171875","0.6171875"
"16940","0.6171875","0.6171875","0.6171875"
"17010","0.91015625","0.91015625","0.91015625"
"17080","0.703125","0.703125","0.703125"
"17150","0.74609375","0.74609375","0.74609375"
"17220","1","1","1"
"17290","0.58984375","0.58984375","0.58984375"
"17360","0.50390625","0.50390625","0.50390625"
"17430","0.80078125","0.80078125","0.80078125"
"17500","0.453125","0.453125","0.453125"
"17570","0.490234375","0.490234375","0.490234375"
"17640","0.51171875","0.51171875","0.51171875"
"17710","0.765625","0.765625","0.765625"
"17780","0.95703125","0.95703125","0.95703125"
"17850","0.80078125","0.80078125","0.80078125"
"17920","0.6875","0.6875","0.6875"
"17990","0.67578125","0.67578125","0.67578125"
"18060","0.875","0.875","0.875"
"18130","0.83203125","0.83203125","0.83203125"
"18200","0.9375","0.9375","0.9375"
"18270","0.63671875","0.63671875","0.63671875"
"18340","0.72265625","0.72265625","0.72265625"
"18410","0.66015625","0.66015625","0.66015625"
"18480","0.75390625","0.75390625","0.75390625"
"18550","0.5859375","0.5859375","0.5859375"
"18620","0.70703125","0.70703125","0.70703125"
"18690","0.79296875","0.79296875","0.79296875"
"18760","0.8125","0.8125","0.8125"
"18830","0.54296875","0.54296875","0.54296875"
"18900","0.875","0.875","0.875"
"18970","0.60546875","0.60546875","0.60546875"
"19040","0.77734375","0.77734375","0.77734375"
"19110","0.73828125","0.73828125","0.73828125"
"19180","0.5","0.5","0.5"
"19250","0.65234375","0.65234375","0.65234375"
"19320","0.96484375","0.96484375","0.96484375"
"19390","0.625","0.625","0.625"
"19460","0.828125","0.828125","0.828125"
"19530","0.63671875","0.63671875","0.63671875"
"19600","0.81640625","0.81640625","0.81640625"
"19670","0.75","0.75","0.75"
"19740","0.59375","0.59375","0.59375"
"19810","0.80859375","0.80859375","0.80859375"
"19880","0.671875","0.671875","0.671875"
"19950","0.69921875","0.69921875","0.69921875"
"20020","0.62109375","0.62109375","0.62109375"
"20090","0.82421875","0.82421875","0.82421875"
"20160","0.984375","0.984375","0.984375"
"20230","0.546875","0.546875","0.546875"
"20300","0.65625","0.65625","0.65625"
"20370","0.81640625","0.81640625","0.81640625"
"20440","0.62890625","0.62890625","0.62890625"
"20510","0.70703125","0.70703125","0.70703125"
"20580","0.828125","0.828125","0.828125"
"20650","0.828125","0.828125","0.828125"
"20720","0.59375","0.59375","0.59375"
"20790","0.71875","0.71875","0.71875"
"20860","0.62890625","0.62890625","0.62890625"
"20930","0.56640625","0.56640625","0.56640625"
"21000","0.64453125","0.64453125","0.64453125"
"21070","0.9375","0.9375","0.9375"
"21140","0.546875","0.546875","0.546875"
"21210","0.734375","0.734375","0.734375"
"21280","0.55859375","0.55859375","0.55859375"
"21350","0.75390625","0.75390625","0.75390625"
"21420","0.453125","0.453125","0.453125"
"21490","0.73046875","0.73046875","0.73046875"
"21560","0.58984375","0.58984375","0.58984375"
"21630","0.453125","0.453125","0.453125"
"21700","0.53515625","0.53515625","0.53515625"
"21770","0.65234375","0.65234375","0.65234375"
"21840","0.62109375","0.62109375","0.62109375"
"21910","0.73046875","0.73046875","0.73046875"
"21980","0.361328125","0.361328125","0.361328125"
"22050","0.65625","0.65625","0.65625"
"22120","0.640625","0.640625","0.640625"
"22190","0.828125","0.828125","0.828125"
"22260","0.80859375","0.80859375","0.80859375"
"22330","0.86328125","0.86328125","0.86328125"
"22400","0.494140625","0.494140625","0.494140625"
"22470","0.6484375","0.6484375","0.6484375"
"22540","0.734375","0.734375","0.734375"
"22610","0.68359375","0.68359375","0.68359375"
"22680","0.72265625","0.72265625","0.72265625"
"22750","0.69921875","0.69921875","0.69921875"
"22820","0.60546875","0.60546875","0.60546875"
"22890","0.71484375","0.71484375","0.71484375"
"22960","0.59765625","0.59765625","0.59765625"
"23030","0.609375","0.609375","0.609375"
"23100","0.58203125","0.58203125","0.58203125"
"23170","0.73046875","0.73046875","0.73046875"
"23240","0.490234375","0.490234375","0.490234375"
"23310","0.671875","0.671875","0.671875"
"23380","0.6640625","0.6640625","0.6640625"
"23450","0.52734375","0.52734375","0.52734375"
"23520","0.53125","0.53125","0.53125"
"23590","0.71875","0.71875","0.71875"
"23660","0.80078125","0.80078125","0.80078125"
"23730","0.734375","0.734375","0.734375"
"23800","0.57421875","0.57421875","0.57421875"
"23870","0.56640625","0.56640625","0.56640625"
"23940","0.87890625","0.87890625","0.87890625"
"24010","0.83203125","0.83203125","0.83203125"
"24080","0.67578125","0.67578125","0.67578125"
"24150","0.70703125","0.70703125","0.70703125"
"24220","0.6171875","0.6171875","0.6171875"
"24290","0.66796875","0.66796875","0.66796875"
"24360","0.73828125","0.73828125","0.73828125"
"24430","0.75390625","0.75390625","0.75390625"
"24500","0.828125","0.828125","0.828125"
"24570","0.640625","0.640625","0.640625"
"24640","0.63671875","0.63671875","0.63671875"
"24710","0.76171875","0.76171875","0.76171875"
"24780","0.76953125","0.76953125","0.76953125"
"24850","0.78125","0.78125","0.78125"
"24920","0.71484375","0.71484375","0.71484375"
"24990","0.79296875","0.79296875","0.79296875"
