"Step","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - eval/3_speech_time_acc","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - eval/3_speech_time_acc__MIN","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - eval/3_speech_time_acc__MAX"
"13090","0.89375","0.89375","0.89375"
"13160","0.8953125","0.8953125","0.8953125"
"13230","0.8984375","0.8984375","0.8984375"
"13300","0.8984375","0.8984375","0.8984375"
"13370","0.8984375","0.8984375","0.8984375"
"13440","0.9","0.9","0.9"
"13510","0.8921875","0.8921875","0.8921875"
"13580","0.890625","0.890625","0.890625"
"13650","0.8875","0.8875","0.8875"
"13720","0.89375","0.89375","0.89375"
"13790","0.89375","0.89375","0.89375"
"13860","0.8921875","0.8921875","0.8921875"
"13930","0.8921875","0.8921875","0.8921875"
"14000","0.8875","0.8875","0.8875"
"14070","0.884375","0.884375","0.884375"
"14140","0.8890625","0.8890625","0.8890625"
"14210","0.890625","0.890625","0.890625"
"14280","0.8796875","0.8796875","0.8796875"
"14350","0.8859375","0.8859375","0.8859375"
"14420","0.8875","0.8875","0.8875"
"14490","0.884375","0.884375","0.884375"
"14560","0.8796875","0.8796875","0.8796875"
"14630","0.878125","0.878125","0.878125"
"14700","0.875","0.875","0.875"
"14770","0.878125","0.878125","0.878125"
"14840","0.8859375","0.8859375","0.8859375"
"14910","0.8796875","0.8796875","0.8796875"
"14980","0.8828125","0.8828125","0.8828125"
"15050","0.8828125","0.8828125","0.8828125"
"15120","0.8859375","0.8859375","0.8859375"
"15190","0.890625","0.890625","0.890625"
"15260","0.884375","0.884375","0.884375"
"15330","0.8890625","0.8890625","0.8890625"
"15400","0.8828125","0.8828125","0.8828125"
"15470","0.8765625","0.8765625","0.8765625"
"15540","0.8796875","0.8796875","0.8796875"
"15610","0.878125","0.878125","0.878125"
"15680","0.8796875","0.8796875","0.8796875"
"15750","0.8828125","0.8828125","0.8828125"
"15820","0.875","0.875","0.875"
"15890","0.8734375","0.8734375","0.8734375"
"15960","0.8734375","0.8734375","0.8734375"
"16030","0.8875","0.8875","0.8875"
"16100","0.878125","0.878125","0.878125"
"16170","0.8796875","0.8796875","0.8796875"
"16240","0.8796875","0.8796875","0.8796875"
"16310","0.88125","0.88125","0.88125"
"16380","0.8734375","0.8734375","0.8734375"
"16450","0.8765625","0.8765625","0.8765625"
"16520","0.8859375","0.8859375","0.8859375"
"16590","0.8828125","0.8828125","0.8828125"
"16660","0.878125","0.878125","0.878125"
"16730","0.88125","0.88125","0.88125"
"16800","0.8796875","0.8796875","0.8796875"
"16870","0.88125","0.88125","0.88125"
"16940","0.8765625","0.8765625","0.8765625"
"17010","0.88125","0.88125","0.88125"
"17080","0.8859375","0.8859375","0.8859375"
"17150","0.890625","0.890625","0.890625"
"17220","0.8859375","0.8859375","0.8859375"
"17290","0.8765625","0.8765625","0.8765625"
"17360","0.8859375","0.8859375","0.8859375"
"17430","0.8796875","0.8796875","0.8796875"
"17500","0.8859375","0.8859375","0.8859375"
"17570","0.8890625","0.8890625","0.8890625"
"17640","0.884375","0.884375","0.884375"
"17710","0.8890625","0.8890625","0.8890625"
"17780","0.8890625","0.8890625","0.8890625"
"17850","0.8859375","0.8859375","0.8859375"
"17920","0.8796875","0.8796875","0.8796875"
"17990","0.8796875","0.8796875","0.8796875"
"18060","0.884375","0.884375","0.884375"
"18130","0.8875","0.8875","0.8875"
"18200","0.88125","0.88125","0.88125"
"18270","0.88125","0.88125","0.88125"
"18340","0.89375","0.89375","0.89375"
"18410","0.89375","0.89375","0.89375"
"18480","0.8828125","0.8828125","0.8828125"
"18550","0.8859375","0.8859375","0.8859375"
"18620","0.8828125","0.8828125","0.8828125"
"18690","0.8890625","0.8890625","0.8890625"
"18760","0.8875","0.8875","0.8875"
"18830","0.890625","0.890625","0.890625"
"18900","0.8875","0.8875","0.8875"
"18970","0.8859375","0.8859375","0.8859375"
"19040","0.8890625","0.8890625","0.8890625"
"19110","0.8875","0.8875","0.8875"
"19180","0.8796875","0.8796875","0.8796875"
"19250","0.8890625","0.8890625","0.8890625"
"19320","0.8921875","0.8921875","0.8921875"
"19390","0.890625","0.890625","0.890625"
"19460","0.9","0.9","0.9"
